"","id","occult.prob","","","unicode","unicode"
"312","195","0.000228","222304.504506012","8180553.58161915","1.24.4.10","1.24.4.10"
"313","206","0.000227","222296.040419638","8180550.78641614","1.24.4.11","1.24.4.11"
"314","731","0.000223","222808.597738097","8180835.80801348","1.24.5.570","1.24.5.570"
"315","822","0.000223","222982.849996648","8180491.40161973","1.24.6.50","1.24.6.50"
"316","266","0.000222","222099.800101027","8180475.62698764","1.24.4.61","1.24.4.61"
"317","261","0.00022","222049.098864508","8180482.38831463","1.24.4.48","1.24.4.48"
"318","740","0.000219","222891.464194642","8180841.25156171","1.24.5.579","1.24.5.579"
"319","207","0.000218","222326.118783285","8180542.9532893","1.24.4.110","1.24.4.110"
"320","830","0.000218","222960.449572032","8180504.53853489","1.24.6.59","1.24.6.59"
"321","751","0.000216","222772.030457761","8180609.52820369","1.24.5.60A","1.24.5.60A"
"322","262","0.000215","222049.252091585","8180472.05770458","1.24.4.49","1.24.4.49"
"323","418","0.000215","222475.39740344","8180589.1594247","1.24.5.266","1.24.5.266"
"324","723","0.000215","222859.223874899","8180769.18812275","1.24.5.563","1.24.5.563"
"325","201","0.000212","222306.745800374","8180504.83888028","1.24.4.105","1.24.4.105"
"326","242","0.000207","222182.764081015","8180564.14281995","1.24.4.25","1.24.4.25"
"327","257","0.000205","222029.91947343","8180502.6007285","1.24.4.44","1.24.4.44"
"328","834","0.000202","222946.662099426","8180515.27889572","1.24.6.60","1.24.6.60"
"329","862","0.000202","222939.025984686","8180533.74648474","1.24.6.91","1.24.6.91"
"330","856","2e-04","222977.099781525","8180578.80927892","1.24.6.86","1.24.6.86"
