"lon","lat","X","Y","polygon","unicode","prov","dist","loc","viv","loc_num","block","uniblock"
-71.5896555573171,-16.4475141723353,223474.193107,8179791.813869,8,"1.24.1.149",1,24,"1","149",1,"9","1.24.1.9"
-71.5895291665005,-16.4475196512758,223487.704775,8179791.380198,8,"1.24.1.150",1,24,"1","150",1,"9","1.24.1.9"
-71.5893736495585,-16.4475572221915,223504.373841,8179787.433315,8,"1.24.1.151",1,24,"1","151",1,"9","1.24.1.9"
-71.5900723584695,-16.4477698104473,223430.023569,8179762.940647,9,"1.24.1.152",1,24,"1","152",1,"10","1.24.1.10"
-71.5898088566943,-16.4477410406051,223458.135911,8179766.486468,9,"1.24.1.153",1,24,"1","153",1,"10","1.24.1.10"
-71.5897457667948,-16.4477558981534,223464.897647,8179764.927846,9,"1.24.1.154",1,24,"1","154",1,"10","1.24.1.10"
-71.5896709085338,-16.4477578359189,223472.898422,8179764.815734,9,"1.24.1.155",1,24,"1","155",1,"10","1.24.1.10"
-71.5895857966738,-16.4477739574169,223482.014825,8179763.147301,9,"1.24.1.156",1,24,"1","156",1,"10","1.24.1.10"
-71.5895053336795,-16.4477871282461,223490.630347,8179761.799187,9,"1.24.1.157",1,24,"1","157",1,"10","1.24.1.10"
-71.5894368902142,-16.4477873308105,223497.943288,8179761.870401,9,"1.24.1.158",1,24,"1","158",1,"10","1.24.1.10"
-71.5893345259389,-16.4478162813332,223508.92116,8179758.8052,9,"1.24.1.159",1,24,"1","159",1,"10","1.24.1.10"
-71.5895601163434,-16.4480440556468,223485.141516,8179733.278606,9,"1.24.1.160",1,24,"1","160",1,"10","1.24.1.10"
-71.589915739952,-16.4482646314598,223447.458712,8179708.371019,10,"1.24.1.161",1,24,"1","161",1,"11","1.24.1.11"
-71.5898200055937,-16.4484577810906,223457.961047,8179687.117523,10,"1.24.1.162",1,24,"1","162",1,"11","1.24.1.11"
-71.589844994205,-16.4485635033461,223455.441132,8179675.378323,10,"1.24.1.163",1,24,"1","163",1,"11","1.24.1.11"
-71.589875900027,-16.4486323163541,223452.236676,8179667.717421,10,"1.24.1.164",1,24,"1","164",1,"11","1.24.1.11"
